"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","UKEA"
"PreUnit","£"
"Unit","m"
"Release date","29-09-2023"
"Next release","22 December 2023"
"Important notes",
"1948","381461"
"1949","394097"
"1950","407268"
"1951","422401"
"1952","428734"
"1953","452548"
"1954","472254"
"1955","491243"
"1956","499555"
"1957","509379"
"1958","516239"
"1959","538278"
"1960","572313"
"1961","587589"
"1962","593887"
"1963","622566"
"1964","658062"
"1965","671975"
"1966","682419"
"1967","701215"
"1968","739468"
"1969","753606"
"1970","773977"
"1971","801969"
"1972","836938"
"1973","891381"
"1974","869155"
"1975","856049"
"1976","881878"
"1977","903587"
"1978","941461"
"1979","976566"
"1980","956533"
"1981","949961"
"1982","968629"
"1983","1008981"
"1984","1031385"
"1985","1073547"
"1986","1106912"
"1987","1166905"
"1988","1229650"
"1989","1259191"
"1990","1266248"
"1991","1248461"
"1992","1251525"
"1993","1279802"
"1994","1323443"
"1995","1355023"
"1996","1390010"
"1997","1458467"
"1998","1508263"
"1999","1554509"
"2000","1621644"
"2001","1663462"
"2002","1693271"
"2003","1746551"
"2004","1788931"
"2005","1837927"
"2006","1881785"
"2007","1931094"
"2008","1926735"
"2009","1837817"
"2010","1878960"
"2011","1900476"
"2012","1929229"
"2013","1963807"
"2014","2026566"
"2015","2071561"
"2016","2111357"
"2017","2167415"
"2018","2197841"
"2019","2233921"
"2020","2002489"
"2021","2176203"
"2022","2270793"
"1955 Q1","121747"
"1955 Q2","121765"
"1955 Q3","124204"
"1955 Q4","123527"
"1956 Q1","124881"
"1956 Q2","124751"
"1956 Q3","124594"
"1956 Q4","125329"
"1957 Q1","127685"
"1957 Q2","127644"
"1957 Q3","126847"
"1957 Q4","127203"
"1958 Q1","130017"
"1958 Q2","126750"
"1958 Q3","129561"
"1958 Q4","129911"
"1959 Q1","130713"
"1959 Q2","132823"
"1959 Q3","135648"
"1959 Q4","139094"
"1960 Q1","142565"
"1960 Q2","141565"
"1960 Q3","143674"
"1960 Q4","144509"
"1961 Q1","146876"
"1961 Q2","147484"
"1961 Q3","146753"
"1961 Q4","146476"
"1962 Q1","147109"
"1962 Q2","148500"
"1962 Q3","149408"
"1962 Q4","148870"
"1963 Q1","149550"
"1963 Q2","156027"
"1963 Q3","156716"
"1963 Q4","160273"
"1964 Q1","161333"
"1964 Q2","164347"
"1964 Q3","164952"
"1964 Q4","167430"
"1965 Q1","166975"
"1965 Q2","167074"
"1965 Q3","168424"
"1965 Q4","169502"
"1966 Q1","169749"
"1966 Q2","170745"
"1966 Q3","171303"
"1966 Q4","170622"
"1967 Q1","172902"
"1967 Q2","175314"
"1967 Q3","176021"
"1967 Q4","176978"
"1968 Q1","183476"
"1968 Q2","182717"
"1968 Q3","186277"
"1968 Q4","186998"
"1969 Q1","186620"
"1969 Q2","188017"
"1969 Q3","189030"
"1969 Q4","189939"
"1970 Q1","188748"
"1970 Q2","193258"
"1970 Q3","195099"
"1970 Q4","196872"
"1971 Q1","195942"
"1971 Q2","199456"
"1971 Q3","202884"
"1971 Q4","203687"
"1972 Q1","204098"
"1972 Q2","209482"
"1972 Q3","210040"
"1972 Q4","213318"
"1973 Q1","223780"
"1973 Q2","224213"
"1973 Q3","222122"
"1973 Q4","221266"
"1974 Q1","215122"
"1974 Q2","218215"
"1974 Q3","219517"
"1974 Q4","216301"
"1975 Q1","216390"
"1975 Q2","212882"
"1975 Q3","212192"
"1975 Q4","214585"
"1976 Q1","218180"
"1976 Q2","217883"
"1976 Q3","220587"
"1976 Q4","225228"
"1977 Q1","225362"
"1977 Q2","223815"
"1977 Q3","225295"
"1977 Q4","229115"
"1978 Q1","231258"
"1978 Q2","233910"
"1978 Q3","237107"
"1978 Q4","239186"
"1979 Q1","238472"
"1979 Q2","248867"
"1979 Q3","243369"
"1979 Q4","245858"
"1980 Q1","243513"
"1980 Q2","238722"
"1980 Q3","238432"
"1980 Q4","235866"
"1981 Q1","235712"
"1981 Q2","236272"
"1981 Q3","238846"
"1981 Q4","239131"
"1982 Q1","239578"
"1982 Q2","242095"
"1982 Q3","242639"
"1982 Q4","244317"
"1983 Q1","249032"
"1983 Q2","250761"
"1983 Q3","253655"
"1983 Q4","255533"
"1984 Q1","257683"
"1984 Q2","255100"
"1984 Q3","256975"
"1984 Q4","261627"
"1985 Q1","264127"
"1985 Q2","269787"
"1985 Q3","269737"
"1985 Q4","269896"
"1986 Q1","272720"
"1986 Q2","275136"
"1986 Q3","276863"
"1986 Q4","282193"
"1987 Q1","284172"
"1987 Q2","288385"
"1987 Q3","295493"
"1987 Q4","298855"
"1988 Q1","303698"
"1988 Q2","305281"
"1988 Q3","309097"
"1988 Q4","311574"
"1989 Q1","313083"
"1989 Q2","315039"
"1989 Q3","315554"
"1989 Q4","315515"
"1990 Q1","317117"
"1990 Q2","319239"
"1990 Q3","315744"
"1990 Q4","314148"
"1991 Q1","312596"
"1991 Q2","312235"
"1991 Q3","311624"
"1991 Q4","312006"
"1992 Q1","311904"
"1992 Q2","311418"
"1992 Q3","312896"
"1992 Q4","315307"
"1993 Q1","316882"
"1993 Q2","318302"
"1993 Q3","321218"
"1993 Q4","323400"
"1994 Q1","326585"
"1994 Q2","329584"
"1994 Q3","332911"
"1994 Q4","334363"
"1995 Q1","336090"
"1995 Q2","336789"
"1995 Q3","340542"
"1995 Q4","341602"
"1996 Q1","343859"
"1996 Q2","344979"
"1996 Q3","348214"
"1996 Q4","352958"
"1997 Q1","358611"
"1997 Q2","362573"
"1997 Q3","365942"
"1997 Q4","371341"
"1998 Q1","374037"
"1998 Q2","376421"
"1998 Q3","377650"
"1998 Q4","380155"
"1999 Q1","382789"
"1999 Q2","384605"
"1999 Q3","390758"
"1999 Q4","396357"
"2000 Q1","401242"
"2000 Q2","404196"
"2000 Q3","406795"
"2000 Q4","409411"
"2001 Q1","413054"
"2001 Q2","414878"
"2001 Q3","417085"
"2001 Q4","418445"
"2002 Q1","419534"
"2002 Q2","421587"
"2002 Q3","424425"
"2002 Q4","427725"
"2003 Q1","430832"
"2003 Q2","434837"
"2003 Q3","438710"
"2003 Q4","442172"
"2004 Q1","443853"
"2004 Q2","446443"
"2004 Q3","448171"
"2004 Q4","450464"
"2005 Q1","453784"
"2005 Q2","457557"
"2005 Q3","461135"
"2005 Q4","465451"
"2006 Q1","467840"
"2006 Q2","469655"
"2006 Q3","470918"
"2006 Q4","473372"
"2007 Q1","477823"
"2007 Q2","481314"
"2007 Q3","484544"
"2007 Q4","487413"
"2008 Q1","489783"
"2008 Q2","487386"
"2008 Q3","479872"
"2008 Q4","469694"
"2009 Q1","460105"
"2009 Q2","458599"
"2009 Q3","458875"
"2009 Q4","460238"
"2010 Q1","464543"
"2010 Q2","469606"
"2010 Q3","472199"
"2010 Q4","472612"
"2011 Q1","473819"
"2011 Q2","474365"
"2011 Q3","475813"
"2011 Q4","476479"
"2012 Q1","480632"
"2012 Q2","479979"
"2012 Q3","484579"
"2012 Q4","484039"
"2013 Q1","485409"
"2013 Q2","488930"
"2013 Q3","493002"
"2013 Q4","496466"
"2014 Q1","500552"
"2014 Q2","504939"
"2014 Q3","508741"
"2014 Q4","512334"
"2015 Q1","513850"
"2015 Q2","516876"
"2015 Q3","518915"
"2015 Q4","521920"
"2016 Q1","523813"
"2016 Q2","526750"
"2016 Q3","528712"
"2016 Q4","532082"
"2017 Q1","536566"
"2017 Q2","540020"
"2017 Q3","543452"
"2017 Q4","547377"
"2018 Q1","547688"
"2018 Q2","548600"
"2018 Q3","550425"
"2018 Q4","551128"
"2019 Q1","555141"
"2019 Q2","556932"
"2019 Q3","560987"
"2019 Q4","560861"
"2020 Q1","545597"
"2020 Q2","434718"
"2020 Q3","507643"
"2020 Q4","514531"
"2021 Q1","509261"
"2021 Q2","546579"
"2021 Q3","555956"
"2021 Q4","564407"
"2022 Q1","567372"
"2022 Q2","567878"
"2022 Q3","567392"
"2022 Q4","568151"
"2023 Q1","569973"
"2023 Q2","571043"
